,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
io read,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0
,37.2,105.4,104,100.8,106.6,99.6,94,241.2,637.4,162.2,94.4,93.4,83,125.8,207,249.6,220.6,168.2,239.8,270.8,263.2,290.6,204.4,227.4,189.8,249.6,186
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2304,2304,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2304,2304,3456,3648,3648,3648,3648,3648,3648,3648,3648,3648
,546256,546262,546256,546256,546256,546262,546256,546256,546256,546262,546256,546257,546260,546263,546263,546257,546323,546519,546518,546531,546621,546634,546610,546608,546605,546607,546605
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2989,2989,2989,2989,2989,2989,2989,2989,2989,2989,2989,2989,2989,2989,2989,2989,3005,3053,3053,3054,3078,3084,3081,3081,3081,3081,3081
,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,40,88,88,88,88,88,88,88,88,88,88
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,37,85,85,85,85,85,85,85,85,85,85
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,886539.8,1118544.2,1104689.4,1058837,1164705.2,980880.8,1127802.4,1065034.8,990071.6,1199684.6,987467.8,1168108.6,1028955.8,1033901.4,1124137.8,953351.8,805478.4,919317.2,923307.8,1103450,1014005.4,1017293,1078906.8,1092791.2,949848.2,1144702.6,1002024.4
,881388.2,1097522,1084655.2,1016897.4,1126353.6,954020,1118109,1027460,956132.2,1199503.6,987130.4,1165663,1004390,1035253.4,1116124.6,954467.2,805725.2,909718.4,922413.4,1104588.4,1010161.6,992699.2,1058076.2,1094401.8,950895.8,1146303.2,1003582.4
,881598.8,1094878.6,1077146,1047586.4,1070160.2,989972,1090205,1026322.6,993515,1111241.8,1066560.8,1113994.6,1041979,1054144.4,1071874.2,992921.4,764018,920344,945562.6,1094470.8,962343.2,1030643.2,1076701.4,1059612.8,960834,1118767,1037226.8
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,254996,254996,254996,254996,254996,254904,254970,255001,255059,255059,255059,255059,255059,255064,255064,255064,255064,255064,255064,255064,255064,255065,255065,255065,255065,255065,255065
,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
,52949453,52938834,52907600,53053701,52784763,52955372,52840982,52824475,53002245,52583398,52957702,52691373,52890032,52969224,52767453,52958702,52751073,52871918,52939552,52869846,52668903,52892861,52955876,52794084,52852083,52717320,52867741
,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942
,16,17,16,16,16,17,16,16,16,17,16,16,16,17,17,16,32,81,81,80,80,80,81,81,80,81,81
,0.016,0.017,0.016,0.016,0.016,0.017,0.016,0.016,0.016,0.017,0.016,0.016,0.016,0.017,0.017,0.016,0.031,0.079,0.079,0.078,0.078,0.078,0.079,0.079,0.078,0.079,0.079
,7,7,7,7,7,8,7,7,7,8,7,7,8,8,8,8,7,71,71,71,70,71,71,71,71,71,71
,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,25,48,63,64,64,64,64
,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,54,69,70,70,70,70
,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,26,49,64,65,65,65,65
,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,66,66,64,66,66,66,66,66,66,66
,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,59,65,66,66,66,66,66,66
,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,26,49,64,66,65,65,65,65,65
,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,71,71,69,71,71,71,71,71,71,71
,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,47,64,70,71,71,71,71,71,71
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,63,64,64,64,64,64,64,64
,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576
,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192
,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
