,0,1,2,3,4,5,6,7,8,9,10,11,,
69,39121105,39116739,39107517,39102735,39102143,39095785,39091207,39092084,39082177,39084457,39085179,39078774,normF,
70,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,normH,
71,74,74,74,75,74,74,74,74,76,74,74,74,Conn,postgresql conn
72,0.072,0.072,0.072,0.073,0.072,0.072,0.072,0.072,0.074,0.072,0.072,0.072,%Con,
73,65,65,65,56,65,64,65,65,61,66,47,65,Act,
74,0,0,0,0,0,0,0,0,0,0,0,0,LongQ,
75,0,0,0,0,0,0,0,0,0,0,0,0,LongX,
76,4,4,4,14,4,5,4,4,9,3,10,4,Idl,
77,0,0,0,0,0,0,0,0,0,0,0,0,LIdl,
78,0,0,0,0,0,0,0,0,0,0,0,0,LWait,
79,1,1,1,1,1,1,1,1,1,1,1,1,SQLs1,
80,1,1,1,1,1,1,1,1,1,1,1,1,SQLs3,
81,0,0,0,0,0,0,0,0,0,0,0,0,SQLs5,
82,1,1,1,1,1,1,1,1,4,2,1,1,Xact1,
83,1,1,1,1,1,1,1,1,1,1,1,1,Xact3,
84,4,7,4,5,4,3,2,3,3,9,3,0,Locks,postgresql locks
85,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,shared_buffers,postgresql settings
86,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,work_mem,
87,10,10,10,10,10,10,10,10,10,10,10,10,bgwriter_delay,
88,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,max_connections,
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,autovacuum_work_mem,
90,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,temp_buffers,
91,10,10,10,10,10,10,10,10,10,10,10,10,autovacuum_max_workers,
92,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,maintenance_work_mem,
93,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,checkpoint_timeout,
94,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,max_wal_size,
95,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,checkpoint_completion_target,
96,40,40,40,40,40,40,40,40,40,40,40,40,wal_keep_segments,
97,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,wal_segment_size,
98,0,0,0,0,0,0,0,0,0,0,0,0,clean,postgresql all
99,136983,137137,137295,137540,137770,138004,138206,138388,138524,138564,138690,138876,back,
100,970356,970755,971228,971767,972267,972811,973393,973810,974107,974240,974571,974966,alloc,
101,0,0,0,0,0,0,0,0,0,0,0,0,heapr,
102,715,715,332,1027,715,715,715,715,326,1053,695,715,heaph,
103,1,1,1,1,1,1,1,1,1,1,1,1,ratio,
104,89453270774,89454532342,89456047862,89457833718,89459898102,89461651190,89463297782,89464805110,89465902838,89466410742,89467270902,89468778230,size,
105,335872,252313.6,303104,357171.2,412876.8,350617.6,329318.4,301465.6,219545.6,101580.8,172032,301465.6,grow,
106,2377,1741,1920.8,2251.4,2199.2,2116.2,2077.4,1732.4,1090.2,580.6,1393.6,1647.6,insert,
107,4142.6,3251.4,3374.2,4176.8,3782.2,3963.2,4029.8,2835.2,1866.2,1154,2300.2,2913,update,
108,133.8,115.8,108.8,145,119.8,144.8,151.8,81.8,59,45.8,66.8,97.8,delete,
109,2068,1494,1717,2011,1901,1786,1830,1484,902,499,1251,1395,comm,
110,10,13,14,16,14,12,18,12,11,9,11,12,roll,
