,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,2022-04-07 18:30:50,2022-04-07 18:30:55,2022-04-07 18:31:00,2022-04-07 18:31:05,2022-04-07 18:31:10,2022-04-07 18:31:15,2022-04-07 18:31:20,2022-04-07 18:31:25,2022-04-07 18:31:30,2022-04-07 18:31:35,2022-04-07 18:31:40,2022-04-07 18:31:45,2022-04-07 18:31:50,2022-04-07 18:31:55,2022-04-07 18:32:00,2022-04-07 18:32:05,2022-04-07 18:32:10,2022-04-07 18:32:15,2022-04-07 18:32:20,2022-04-07 18:32:25,2022-04-07 18:32:30,2022-04-07 18:32:35,2022-04-07 18:32:40,2022-04-07 18:32:45,2022-04-07 18:32:50
1,0.24,0.136,0.16,0.167,0.167,0.173,0.148,8.481,10.614,10.554,10.703,10.834,10.827,10.7,10.76,10.797,10.785,10.752,10.68,2.041,0.231,0.173,0.188,0.16,0.106
2,0.106,0.106,0.1,0.131,0.11,0.108,0.117,0.471,0.115,0.11,0.104,0.114,0.094,0.094,0.096,0.106,0.106,0.087,0.098,0.227,0.123,0.121,0.138,0.131,0.106
3,98.19,97.792,97.245,97.473,96.69,96.929,97.415,88.337,85.738,86.105,87.314,86.772,87.282,86.946,85.234,86.748,86.621,87.576,87.147,93.84,97.792,97.721,96.692,97.839,95.811
4,1.464,1.967,2.494,2.229,3.033,2.79,2.321,2.711,3.533,3.231,1.88,2.28,1.798,2.26,3.91,2.349,2.488,1.584,2.076,3.891,1.853,1.986,2.983,1.869,3.976
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3810918.4,3678208.0,3588096.0,3673292.8,3112960.0,3558604.8,3516825.6,4412211.2,3475046.4,3717529.6,3037593.6,3907584.0,3971481.6,2616524.8,3120332.8,4262297.6,3878092.8,4032102.4,3593011.2,2906521.6,3765043.2,3886284.8,3694592.0,3105587.2,2732851.2
8,174916.8,79856.0,127449.2,116175.0,141866.2,120073.2,86581.2,172527.6,135564.4,116779.0,127224.0,135107.8,188621.4,83537.0,143017.4,169766.8,133025.8,154625.4,106657.0,70042.0,150803.8,156213.4,149306.8,109238.4,85677.0
9,211474.2,94332.6,156434.2,142182.8,176467.8,149064.2,108355.6,227493.6,186686.0,164383.4,174362.2,184522.0,245056.8,123331.4,193610.8,229927.8,176514.6,208139.2,147059.2,87382.6,188175.6,189558.2,191380.0,137947.0,104608.6
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,67955200000.0,67957100544.0,67958280192.0,67959185408.0,67960860672.0,67962515456.0,67963486208.0,68039970816.0,68042129408.0,68036440064.0,68037386240.0,68033515520.0,68029734912.0,68034830336.0,68031991808.0,68032831488.0,68033077248.0,68034846720.0,68034641920.0,67964661760.0,67964522496.0,67968073728.0,67968196608.0,67973181440.0,67974602752.0
13,201474818048.0,201472512000.0,201471246336.0,201470291968.0,201468534784.0,201466847232.0,201465839616.0,201389121536.0,201386856448.0,201392103424.0,201391132672.0,201394974720.0,201398620160.0,201393262592.0,201396158464.0,201395064832.0,201394757632.0,201392721920.0,201392869376.0,201462599680.0,201462693888.0,201458974720.0,201458610176.0,201453551616.0,201452089344.0
14,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0,1137856512.0
