0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3780,3780,3782,3780,3780,3782,3780,3780,3780,3780,3822,3844,3844,3845,3844,3846,3844,3844,3844,3844,3846
19,19,21,19,19,21,19,19,19,19,60,83,83,83,83,85,83,83,83,83,85
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,16,18,16,16,18,16,16,16,16,57,80,80,80,80,82,80,80,80,80,82
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,24,24,24,24,24,24,24,24,24,24,24,18,24,24,24,24,24,24,24,24
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,19,19,19,19,19,19,19,19,19,19,19,13,19,19,19,19,19,19,19,19
0.126,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22890.585,651173,628436.6,560133.2,605916.2,604454,605943.8,601728.2,488056.2,547589,591882.8,136324,561944,589766.8,578931.8,502245,587273.4,539635.8,544725,585198.4,524184.2
18333.393,568759.4,551884.8,544477.8,573287,533172.6,601622.2,601022.4,474058.8,546506.4,592027.4,98108,536140.4,591799,558679.8,499178.8,565739.4,540996,520708.6,543067.4,490140.2
18338.027,540670,570814.2,550320,541991.4,537069.8,594216,585198.4,491699.2,513858.4,602576,98295,518266.8,606093.8,544483.6,512981.4,565655.4,527450.8,534002,529439.2,490990.6
3.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257113,256012,256928,257945,255522,255547,256169,254690,256617,256953,258151,255881,254777,257186,255666,256217,256020,255245,256389,256626,255331
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
59281783,59222888,59248194,59260196,59183453,59220369,59161544,59113333,59118334,59004021,59055997,59049040,59026216,59045162,59017720,59041739,59035154,59009291,59035175,59000805,59011979
16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942
11,11,11,11,11,11,12,11,11,11,54,76,75,75,75,75,75,75,76,75,75
0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.011,0.011,0.011,0.053,0.074,0.073,0.073,0.073,0.073,0.073,0.073,0.074,0.073,0.073
3,3,2,3,2,2,3,2,3,2,2,66,65,66,65,66,66,65,66,66,66
0,0,0,1,1,1,1,1,1,1,0,0,0,0,35,64,64,64,64,64,64
0,0,0,1,1,1,1,1,1,1,1,1,1,1,36,65,65,65,65,65,65
2,3,4,3,4,4,4,4,3,4,5,4,5,4,5,4,4,5,5,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,0,0,1,0,0,1,1,0,0,0,0,0,1,36,65,65,65,65,65,65
0,2,3,2,2,3,3,2,2,2,3,68,66,66,66,66,66,66,67,66,66
0,2,3,2,2,3,3,2,2,2,3,68,37,66,66,66,66,66,67,66,66
0,1,3,1,1,1,1,1,1,2,1,3,37,65,65,65,65,65,65,65,65
0,2,3,2,2,3,2,2,2,2,3,68,66,66,66,66,66,66,67,66,66
0,2,3,2,2,3,2,2,2,2,3,68,37,66,66,66,66,66,67,66,66
0,0,0,0,0,0,0,0,0,0,0,35,64,64,64,64,64,64,64,64,64
1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576
8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576
1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216
950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217,950217
4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081,4643081
7851117,7888033,7927728,7961921,7989001,8019110,8044550,8066285,8087485,8109628,8118857,8118857,8120521,8120521,8120521,8120521,8120521,8120521,8120521,8120521,8120521
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9491008,507,875,513,724,935,518,724,664,724,651,130,1313,456,577,1084,456,955,737,748,664
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56579300154,56582134586,56585550650,56593251130,56672197434,56786811706,56926411578,57091545914,57256876858,57427704634,57502014266,57502014266,57502014266,57502014266,57502014266,57502014266,57502014266,57502014266,57502014266,57502014266,57502014266
2994.262,566886.4,683212.8,1540096,15789260.8,22922854.4,27919974.4,33026867.2,33066188.8,34165555.2,14861926.4,0,0,0,0,0,0,0,0,0,0
2.674,0,0,0,0,0,0,0,0,0,0,0,86.2,0,0,0,0,0,0,0,0
6.794,0,0,0,0,0,0,0,0,0,0,0,78.8,0,0,0,0,0,0,0,0
0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25243932,15,16,14,15,16,16,15,15,15,53,0,146,15,12,20,15,14,16,15,15
1428431,3,6,4,5,6,4,5,5,5,4,0,8,4,3,8,4,5,5,6,5
